"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:1orMaXJjaAxsGpRH25dTPy","Tricks","spotify:artist:5Fxhpw4yw2CH0k6q3b4q0y","OAKK","spotify:album:7rc8pLYtlqag3j3Mfu2rzf","Tricks","1","1","245880","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:50zyys0R1T9M9Cc5ibr5vV","#Accidentaldeathing","spotify:artist:1AqybHsTw984feND8RwcCe","Sinistarr","spotify:album:0KKAb402oYp25lzto9XB0o","20/20 Volume Two","1","4","229449","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:294IhBvEghf0rJPxQFb4af","Cake","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","spotify:album:4F82WwbX67gkgfOuyRcaUr","Death Don't Always Taste Good","1","5","205796","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:2sOyzlSjXjtatAgUcjYfrY","Caution","spotify:artist:0kjZvGERXMvPFSs6DB5UFF","Phazz","spotify:album:0KKAb402oYp25lzto9XB0o","20/20 Volume Two","1","9","312395","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:2YonNPsOfBszCc1UvVCdn7","Oni","spotify:artist:3mVwDyQRNVMy3ZNuTabf6f","Champagne Drip","spotify:album:5yk9sNsBhjddrKp7lAcgXr","Of Course I Still Love You","1","3","274593","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:46SmjlCN4tJaPcJ9qA5can","Hella Sideways","spotify:artist:7nmucrDZXxIQNGLwCqPQpO","Posij","spotify:album:5bEmACcusR23SGTYSbI7og","Morphing","1","3","313500","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:0CCOosXQ238JWX6vU86ip3","Begin - Cassius Select Remix","spotify:artist:5LPAa4jKhIGSsKd5lN3oWG, spotify:artist:7dLG20eVowiYeFgxiJi4GX","Abe, Nobel","spotify:album:6wFUePj47P9QBKW70PRYZK","Begin","1","2","236500","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:65G0YbmepczAwJyWogyXVS","Herd","spotify:artist:3ANxMohX86hAwLMGhIJd7B","Cassius Select","spotify:album:5KlOYOMGlYEtdvePoVTmkk","90 / Herd","1","2","283030","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:2LLWUjdrR02F72lyKUGRdq","Sickle Cell","spotify:artist:3ERD4DfS1hrp1rVObvWEaB","E3 Breaks","spotify:album:2Ej8dRkMcoBpmdzBqgLZbv","With The Fracture","1","1","225003","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:04zSuDZLk7BzfxZ1D6X4Eg","Edge It","spotify:artist:0L18KxnMWgXorB5oVDRGzR","L U C Y","spotify:album:2Ej8dRkMcoBpmdzBqgLZbv","With The Fracture","1","2","196331","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
