"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:60TbgT4nUDQ831CFPx7vSn","Brand New Drop - Thys Remix","spotify:artist:6LG1BzyImz45pwMF6ft7Yr, spotify:artist:6x8tZ30aFwdl50YjETAppR","Addison Groove, Thys","spotify:album:3vt6HI0pJDrtTfhsrxuStp","Fred Neutron Remixes","1","2","372000","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-10-09T13:46:38Z"
"spotify:track:3KdHrB4WQsUYJ4yytUPyBo","Drips","spotify:artist:6fioiOJRfc72Mr74xgToJt, spotify:artist:3rblB9Pm51uKd9uYPVPB7B","Philip D Kick, Om Unit","spotify:album:2SaX3Uv70CZpL4qSOU6mxw","Drips","1","1","219110","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-10-09T13:46:54Z"
"spotify:track:5OlodPAIr02a84sOr5SDjw","Void Control","spotify:artist:0K1lHu1BP65Z1DErnljxUw","Forest Drive West","spotify:album:0fF5rNZHJOzMcYYGNz8ZJ3","Void Control","1","1","459267","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-10-09T13:52:11Z"
"spotify:track:0bXOeaq8rRoGE0V569Fofe","Scuzzy","spotify:artist:27JCep1zDO3K8GY50trDo6","Nikki Nair","spotify:album:5XtYxhHh8uv0c1luOxAgMu","Scuzzy","1","1","347009","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-10-30T17:57:31Z"
"spotify:track:5Yc4dAMjw61g2OL5LnSEAv","Static","spotify:artist:6ojLiXkE6pfuxeb9cfY7fU","Near","spotify:album:6q0nnnZpKdAciXHkFolVLN","Static - EP","1","1","309081","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-10-30T18:18:17Z"
"spotify:track:498rjT3YhBx4fI3SO34GjT","Acid Trip - J:Kenzo Remix","spotify:artist:2GVdfwjBqFpsEfNZOdBREX, spotify:artist:2vnlhEYTh2K1O3NZE2ONiz","Amit, J:Kenzo","spotify:album:2Zxl0M5lWQazB3FXxHxltm","Acid Trip (J:Kenzo Remix) / The Righteous","1","1","252677","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-10T21:22:12Z"
