"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:26z2X2YaHsFzdXjtVLEKUI","Brain Wax","spotify:artist:0droMKB3dJCY7dGdtCQuFq","Roy Blues","spotify:album:7rjx3Mm1qul6I0MOfmxEuw","Brain Wax","1","1","287112","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-23T14:39:00Z"
"spotify:track:6u9JYXS4Kk0MbI05MYMAq2","Decompression","spotify:artist:4i3y3MC57rWYNAdYlE6HM3","Harrison BDP","spotify:album:52KuMdJPXIvwWNN17uYt4E","Fair","1","3","476015","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-09-23T09:30:13Z"
"spotify:track:0QNkVh7nw7KkQSPkjharYW","Liverpool Street In The Rain","spotify:artist:7yF6JnFPDzgml2Ytkyl5D7","Mall Grab","spotify:album:6c7WKxOsmyo8lH9g5DIFuq","How The Dogs Chill, Vol. 1","1","1","332437","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-09-23T09:33:22Z"
"spotify:track:7ijYibk1E3NhZSIYorvuy9","Get Impetuous","spotify:artist:7yF6JnFPDzgml2Ytkyl5D7","Mall Grab","spotify:album:6c7WKxOsmyo8lH9g5DIFuq","How The Dogs Chill, Vol. 1","1","4","331874","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-09-23T09:33:29Z"
"spotify:track:5FT8BSRVjOxiedA391z0ym","Epiphany","spotify:artist:1Ma3pJzPIrAyYPNRkp3SUF","Ross from Friends","spotify:album:01aJOn3j0v2wk9zKeFf1iG","Epiphany","1","1","324086","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-09-23T09:34:00Z"
"spotify:track:4Z4i631BesV0P6LTvfLAdL","Talk to Me You'll Understand","spotify:artist:1Ma3pJzPIrAyYPNRkp3SUF","Ross from Friends","spotify:album:6c94J2yum9wHxmbSB27YXE","You'll Understand","1","1","417099","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-09-23T09:41:09Z"
"spotify:track:4jfOVuy4GRlXQDwEpkLhM9","Suzinak","spotify:artist:1Ma3pJzPIrAyYPNRkp3SUF","Ross from Friends","spotify:album:0c2To7FAmKgAeRpdrobFWP","The Outsiders","1","5","388500","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-09-23T09:41:27Z"
"spotify:track:3q47RufCCzXrimbWapHHY5","Crimson","spotify:artist:1Ma3pJzPIrAyYPNRkp3SUF","Ross from Friends","spotify:album:0c2To7FAmKgAeRpdrobFWP","The Outsiders","1","1","444800","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-09-23T09:41:32Z"
"spotify:track:5yVRjbgP1D8svzchZCiakR","Lemon & Lime","spotify:artist:688IrSnBPH7DCe4z8CQzV4","Maxmillion Dunbar","spotify:album:6iti9e9hSP9GH60JpNXp65","Cool Water","1","6","386493","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-10-04T16:56:16Z"
