"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:2yGDvuPyDgIhOnqL8Yv1pn","Best Of","spotify:artist:6hNELDwN2cBEdL74cpXKc0","Hyroglifics","spotify:album:7m2kpr4KKVrjWz9dXTS15y","Best Of","1","1","249495","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-23T14:32:07Z"
"spotify:track:6HrQGbD6gIvfF4fDCGSPeP","God Given","spotify:artist:6hNELDwN2cBEdL74cpXKc0","Hyroglifics","spotify:album:7m2kpr4KKVrjWz9dXTS15y","Best Of","1","2","201680","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-23T14:32:07Z"
"spotify:track:5i5g3v6H9LTtFTZ8EuUFwf","Vultures","spotify:artist:6hNELDwN2cBEdL74cpXKc0","Hyroglifics","spotify:album:7m2kpr4KKVrjWz9dXTS15y","Best Of","1","3","288773","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-23T14:32:07Z"
"spotify:track:7LYGttqgxG2mxj3klCP000","Circular","spotify:artist:6hNELDwN2cBEdL74cpXKc0, spotify:artist:3W1ubrHvNSMltB1l7zo6xt","Hyroglifics, Kasra","spotify:album:7m2kpr4KKVrjWz9dXTS15y","Best Of","1","4","262187","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-23T14:32:07Z"
"spotify:track:3QGvYede3K3OiLtrk54pHS","Braided Leaves","spotify:artist:06xa1OLBsMQJFXcl2tQkH4","Machinedrum","spotify:album:5yCVHzdoH35ghll6W7WQSY","Braided Leaves","1","1","292845","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-23T14:32:42Z"
"spotify:track:5O5HVO8FlZGo2Ug5hlCo9a","Angry Waves","spotify:artist:7Gg3X2b5ljrhVGXDAwcrq3","Cesco","spotify:album:3oEjaBTRiH4RGMwZlIZvAy","Angry Waves EP","1","1","316235","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-23T14:33:13Z"
"spotify:track:3E17fU9dL8Or1ANdaOEukE","Ping Pong","spotify:artist:7Gg3X2b5ljrhVGXDAwcrq3","Cesco","spotify:album:3oEjaBTRiH4RGMwZlIZvAy","Angry Waves EP","1","3","279069","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-23T14:33:20Z"
"spotify:track:55XDmowC7qP7jONv1kqCMU","Bomba","spotify:artist:7Gg3X2b5ljrhVGXDAwcrq3","Cesco","spotify:album:3jeznNkz9uDrm4ANuNvJz9","Bomba","1","1","287436","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-23T14:33:39Z"
"spotify:track:6rss0fwMuD4r2elmYIFdF7","Hard Noize - Break Remix","spotify:artist:5CDTMeaU6dnv24n6e4uAtk, spotify:artist:7FtCGMC0pcHPlrZWmYe9XM","Dillinja, Break","spotify:album:0cyuZT16FcZqVwu0MAuEgd","Hard Noize (Break Remix) / Tubes","1","1","296290","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-23T14:36:26Z"
"spotify:track:729IqJUe45xemOBKwdbhLk","Tubes","spotify:artist:7FtCGMC0pcHPlrZWmYe9XM","Break","spotify:album:0cyuZT16FcZqVwu0MAuEgd","Hard Noize (Break Remix) / Tubes","1","2","270347","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-23T14:36:57Z"
